fluorochrome	type	nm	norm_intensity
1,8-ANS	em	472	100
1,8-ANS	ex	374	100
4-Di-10-ASP	em	591	100
4-Di-10-ASP	ex	476	100
7-AAD	em	647	100
7-AAD	ex	549	100
7-hydroxy-4-methylcoumarin	em	448	100
7-hydroxy-4-methylcoumarin	ex	360	100
Acridine orange	em	526	100
Acridine orange	ex	502	100
Alexa Fluor 647-R-phycoerythrin (R-PE)	em	667	100
Alexa Fluor 647-R-phycoerythrin (R-PE)	ex	306	11
Alexa Fluor 647-R-phycoerythrin (R-PE)	ex	497	68
Alexa Fluor 647-R-phycoerythrin (R-PE)	ex	568	100
Alexa Fluor 647-R-phycoerythrin (R-PE)	ex	613	27
Alexa Fluor 647-R-phycoerythrin (R-PE)	ex	654	54
Alexa Fluor 680-allophycocyanin (APC)	em	703	100
Alexa Fluor 680-allophycocyanin (APC)	ex	344	21
Alexa Fluor 680-allophycocyanin (APC)	ex	655	100
Alexa Fluor Plus405	em	455	100
Alexa Fluor Plus405	ex	404	100
Alexa Fluor Plus488	em	518	100
Alexa Fluor Plus488	ex	314	23
Alexa Fluor Plus488	ex	493	100
Alexa Fluor Plus555	em	572	100
Alexa Fluor Plus555	ex	558	100
Alexa Fluor Plus594	em	619	100
Alexa Fluor Plus594	ex	377	12
Alexa Fluor Plus594	ex	590	100
Alexa Fluor Plus647	em	674	100
Alexa Fluor Plus647	ex	658	100
Alexa Fluor Plus680	em	704	100
Alexa Fluor Plus680	ex	688	100
Alexa Fluor Plus750	em	788	100
Alexa Fluor Plus750	ex	758	100
Alexa Fluor Plus800	em	794	100
Alexa Fluor Plus800	ex	788	100
Alexa Fluor350	em	442	100
Alexa Fluor350	ex	343	100
Alexa Fluor405	em	422	100
Alexa Fluor405	ex	378	76
Alexa Fluor405	ex	401	100
Alexa Fluor420	em	511	100
Alexa Fluor420	ex	427	100
Alexa Fluor430	em	539	100
Alexa Fluor430	ex	432	100
Alexa Fluor488	em	520	100
Alexa Fluor488	ex	341	15
Alexa Fluor488	ex	499	100
Alexa Fluor514	em	542	100
Alexa Fluor514	ex	321	16
Alexa Fluor514	ex	518	100
Alexa Fluor532	em	553	100
Alexa Fluor532	ex	331	16
Alexa Fluor532	ex	534	100
Alexa Fluor546	em	573	100
Alexa Fluor546	ex	526	33
Alexa Fluor546	ex	561	100
Alexa Fluor555	em	568	100
Alexa Fluor555	ex	521	51
Alexa Fluor555	ex	553	100
Alexa Fluor561	em	569	100
Alexa Fluor561	ex	523	51
Alexa Fluor561	ex	556	100
Alexa Fluor568	em	603	100
Alexa Fluor568	ex	579	100
Alexa Fluor594	em	619	100
Alexa Fluor594	ex	377	12
Alexa Fluor594	ex	590	100
Alexa Fluor610	em	630	100
Alexa Fluor610	ex	565	34
Alexa Fluor610	ex	611	100
Alexa Fluor633	em	650	100
Alexa Fluor633	em	708	29
Alexa Fluor633	ex	581	36
Alexa Fluor633	ex	632	100
Alexa Fluor635	em	647	100
Alexa Fluor635	ex	585	36
Alexa Fluor635	ex	633	100
Alexa Fluor647	em	671	100
Alexa Fluor647	ex	650	100
Alexa Fluor660	em	691	100
Alexa Fluor660	ex	334	12
Alexa Fluor660	ex	663	100
Alexa Fluor680	em	704	100
Alexa Fluor680	ex	680	100
Alexa Fluor700	em	719	100
Alexa Fluor700	ex	696	100
Alexa Fluor750	em	776	100
Alexa Fluor750	ex	752	100
Alexa Fluor790	em	805	100
Alexa Fluor790	ex	782	100
Aluora 430 Dye	em	497	100
