fluorochrome	flow_cytometry
1,8-ANS	0
4-Di-10-ASP	0
7-AAD	1
7-hydroxy-4-methylcoumarin	0
AcridineOrange	0
AlexaFluor350	0
AlexaFluor405	1
AlexaFluor420	0
AlexaFluor430	0
AlexaFluor488	1
AlexaFluor514	0
AlexaFluor532	0
AlexaFluor546	0
AlexaFluor555	0
AlexaFluor561	0
AlexaFluor568	0
AlexaFluor594	1
AlexaFluor610	0
AlexaFluor633	0
AlexaFluor635	0
AlexaFluor647	1
AlexaFluor647-PE	1
AlexaFluor660	1
AlexaFluor680	0
AlexaFluor680-APC	1
AlexaFluor700	1
AlexaFluor750	0
AlexaFluor790	0
AlexaFluorPlus405	1
AlexaFluorPlus488	1
AlexaFluorPlus555	0
AlexaFluorPlus594	1
AlexaFluorPlus647	1
AlexaFluorPlus680	0
AlexaFluorPlus750	0
AlexaFluorPlus800	0
Aluora430	0
Aluora488	0
Aluora514	0
Aluora555	0
Aluora594	0
Aluora647	0
Aluora700	0
Aluora750	0
AMC (7-amino-4-methylcoumarin)	0
AmCyan	0
APC	1
APC-AlexaFluor700	1
APC-AlexaFluor750	1
APC-Cy5.5	1
APC-Cy7	1
APC-eFluor780	1
APC-Fire750	1
APC-Fire810	1
APC-H7	1
APC-R700	1
APC-Vio770	1
APF	0
ApotrackerGreen	0
ATTO390	0
ATTO425	0
ATTO465	0
ATTO488	0
ATTO550	0
ATTO590	0
ATTO633	0
ATTO647N	0
ATTO680	0
BCECF@PH5.2	0
BOBO-1	0
BOBO-3	0
BODIPY_500_510	0
BODIPY_581_591	0
BODIPY_630_650	0
BODIPY_650_665	0
BODIPY_FL	1
BODIPY_R6G	0
BODIPY_TMR	0
BODIPY_TR	0
BrilliantBlue515	1
BrilliantBlue700	1
BrilliantUltraviolet395	1
BrilliantUltraviolet496	1
BrilliantUltraviolet563	1
BrilliantUltraviolet615	1
BrilliantUltraviolet661	1
BrilliantUltraviolet737	1
BrilliantUltraviolet805	1
BrilliantViolet421	1
BrilliantViolet480	1
BrilliantViolet510	1
BrilliantViolet570	1
BrilliantViolet605	1
BrilliantViolet650	1
BrilliantViolet711	1
BrilliantViolet750	1
BrilliantViolet785	1
BrilliantViolet786	1
CalceinAM	1
CalceinBlueAM	1
CalceinRedAM	1
CalceinRedOrangeAM	1
CalceinVioletAM	1
CalciumCrimson (CalciumBound)	1
CalciumGreen	1
CalciumOrange	1
CalciumSensorDyeeFluor514	1
CascadeBlue	0
CascadeYellow	0
CaspGLOWFluoresceinActiveCaspase-3Assay	0
CaspGLOWFluoresceinActiveCaspase-8Assay	0
CaspGLOWFluoresceinActiveCaspase-9Assay	0
CaspGLOWFluoresceinActiveCaspaseAssay	0
CellEventCaspase-3_7GreenAssay	0
CellEventRed	0
CellEventSenescenceGreen	0
CellMaskDeepRedActin	0
CellMaskDeepRedPlasmaMembraneStain	0
CellMaskGreenActin	0
CellMaskOrangeActin	0
CellMaskOrangePlasmaMembraneStain	0
CellProliferationDyeeFluor450	1
CellProliferationDyeeFluor670	1
CellROXDeepRed	1
CellROXGreen	1
CellROXOrange	1
CellTraceBlue	1
CellTraceFarRed	1
CellTraceOregonGreen	1
CellTraceViolet	1
CellTraceYellow	1
CellTrackerBlueCMF2HC	0
CellTrackerBlueCMHC	0
CellTrackerCM-Dil	0
CellTrackerDeepRed	0
CellTrackerGreenCMFDA	0
CellTrackerOrangeCMTMR	0
CellTrackerRedCMTPX	0
CFP	1
CFSE	1
Cy3	1
Cy3.5	1
Cy5	1
Cy7	1
CyQuant	1
CytophaseViolet	0
DAF-FM	0
Dansyl	0
DAPI	1
Dapoxyl	0
DCF	0
DDAO	0
DeepRedActin	0
Di-2-ANEPEQ (JPW1114)	0
Di-3-ANEPPDHQ	0
Di-4-ANEPPDHQ	0
Di-4-ANEPPS	0
Di-8-ANEPPS	0
DiA	0
Dibromobimane (bBBr)	0
DiD	0
DiFMU (pH3.0)	0
DiFMU (pH9.0)	0
Dihydroethidium	0
DiI	0
DiO	0
DiR	0
DRAQ5	1
DRAQ7	1
DsRed	0
DsRedDimer2	0
DsRedExpress	1
dTomato	1
DyeCycleGreen	1
DyeCycleOrange	1
DyeCycleViolet	1
DyLight350	0
DyLight405	0
DyLight488	0
DyLight510-LS	0
DyLight515-LS	0
DyLight521-LS	0
DyLight549	0
DyLight550	0
DyLight594	0
DyLight633	0
DyLight649	0
DyLight650	0
DyLight680	0
DyLight755	1
DyLight800	1
eBFP	1
ECD	0
eCFP	1
eFluor450	1
eFluor506	1
eFluor520FixableViability	1
eFluor565	1
eFluor570	1
eFluor605	1
eFluor615	1
eFluor650	1
eFluor660	1
eFluor700	1
eFluor710	1
eGFP	1
ELF97	0
EndoplasmicReticulumProbeGreen	0
EndoplasmicReticulumProbeRed	0
Eosin	1
EpoxideHydrolaseSubstrate	0
ER-TrackerBlue-WhiteDPX	0
ER-TrackerGreen	0
EthidiumHomodimer	0
eYFP	1
FastBlue	0
FilmTracerCalceinRedOrange	0
FilmTracerCalceinViolet	0
FITC	1
FixableViabilityDyeeFluor450	1
FixableViabilityDyeeFluor455UV	1
FixableViabilityDyeeFluor506	1
FixableViabilityDyeeFluor520	1
FixableViabilityDyeeFluor660	1
FixableViabilityDyeeFluor780	1
FlAsH	0
FlashPhalloidinGreen488	0
FlashPhalloidinNIR647	0
FlashPhalloidinRed594	0
Fluo-3 (CalciumBound)	1
Fluo-4 (CalciumBound)	1
FluoroMyelinGreenFluorescentMyelin	0
FluoroMyelinRedFluorescentMyelin	0
FluoSpheresBlueFluorescentMicrospheres	0
FluoSpheresCrimsonFluorescentMicrospheres	0
FluoSpheresDarkRedFluorescentMicrospheres	0
FluoSpheresNileRedFluorescentMicrospheres	0
FluoSpheresOrangeFluorescentMicrospheres	0
